date,temperature_2m,wind_speed_10m,rain,snowfall,precipitation,wind_speed_100m,year,month,day,hour,day_of_week,is_weekend,time_of_day,season,temperature_category,temperature_delta,is_comfortable_temp,wind_category,wind_ratio,is_windy,has_precipitation,is_rainy,is_snowy,precipitation_category,feels_like_temp,weather_severity,is_good_biking_weather
2023-03-14 22:00:00+00:00,2.3225,35.785156,0.0,0.07,0.1,52.163986,2023,3,14,22,1,0,Evening,Spring,Cold,0.0999999999999996,0,Storm,1.457698996757203,1,1,0,1,,-3.9579123287974713,7.2,0
2023-11-11 01:00:00+00:00,6.1725,13.5515,0.0,0.0,0.0,29.68636,2023,11,11,1,5,1,Night,Fall,Cold,-0.1499999999999994,0,Moderate,2.190632771279932,0,0,0,0,,3.416491793885545,5.35515,0
2023-10-30 12:00:00+00:00,12.7225,4.0249224,0.1,0.0,0.1,2.2768397,2023,10,30,12,0,0,Afternoon,Fall,Mild,0.1500000000000003,1,Calm,0.5656853657600951,0,1,1,0,,12.7225,0.6024922400000001,0
2023-12-12 13:00:00+00:00,-0.82750005,12.43434,0.0,0.0,0.0,23.051247,2023,12,12,13,1,0,Afternoon,Winter,Freezing,1.64999995,0,Moderate,1.853837598135486,0,0,0,0,,-4.903039910469167,5.243434000000001,0
2023-11-04 02:00:00+00:00,6.7225,11.119281,0.0,0.0,0.0,26.302181,2023,11,4,2,5,1,Night,Fall,Cold,-0.8999999999999995,0,Moderate,2.3654569931275238,0,0,0,0,,4.500757737508684,5.1119281,0
2023-06-05 04:00:00+00:00,13.2725,4.3349743,0.0,0.0,0.0,3.096837,2023,6,5,4,0,0,Night,Summer,Mild,-0.0499999999999989,1,Calm,0.7143841660145482,0,0,0,0,,13.2725,0.4334974299999999,1
2023-10-24 21:00:00+00:00,16.6225,8.350138,0.0,0.0,0.0,15.124284,2023,10,24,21,1,0,Evening,Fall,Mild,-0.9000000000000021,1,Light breeze,1.81126156238376,0,0,0,0,,16.6225,0.8350137999999999,1
2023-05-10 13:00:00+00:00,13.3225,6.12,0.0,0.0,0.0,7.92,2023,5,10,13,2,0,Afternoon,Spring,Mild,2.299999999999999,1,Light breeze,1.2941176470588236,0,0,0,0,,13.3225,0.612,1
2023-01-25 22:00:00+00:00,3.8225002,23.795427,0.4,0.0,0.4,42.59121,2023,1,25,22,2,0,Evening,Winter,Cold,1.4500002,0,Storm,1.789890553340354,1,1,1,0,Light,-0.8675149398873478,7.1795427,0
2023-03-12 04:00:00+00:00,2.0725,17.595861,0.0,0.0,0.0,30.282827,2023,3,12,4,6,1,Night,Spring,Cold,0.0999998999999998,0,Strong,1.7210199034875304,1,0,0,0,,-2.2815537102021484,5.7595861,0
2023-02-04 19:00:00+00:00,-5.3275,7.289445,0.0,0.0,0.0,9.19939,2023,2,4,19,5,1,Evening,Winter,Freezing,1.1500000000000004,0,Light breeze,1.262015146557797,0,0,0,0,,-8.717688481444274,4.7289445,0
2023-05-08 01:00:00+00:00,18.6225,10.538843,0.0,0.0,0.0,23.177402,2023,5,8,1,0,0,Night,Spring,Mild,-0.2999989999999997,1,Moderate,2.1992359123292755,0,0,0,0,,18.6225,1.0538843,1
2023-01-14 07:00:00+00:00,1.8225,24.387177,0.0,0.0,0.0,35.232212,2023,1,14,7,5,1,Morning,Winter,Cold,-0.4499999999999999,0,Storm,1.4447023532079992,1,0,0,0,,-3.496915335255143,6.4387177,0
